account_id,shipments,revenue,leakage,cost,margin,margin_pct,leak_pct_of_rev,segment,category,primary_service,negotiated_discount,contract_age_months,density_in3_per_lb,price_elasticity,risk_score,priority_tier,lever_a_dim_correction_recovery,recommended_price_increase_pct,expected_volume_change_pct,lever_b_net_revenue_gain,total_recommended_recovery
A100630,72,2761.83,409.75,634.5600000000001,2127.27,0.7702392978568557,0.14836177462045094,Enterprise,Home & Bulky,Ground,0.2381502397589615,17,239.777169610799,-0.2340485816213019,0.2361,Tier 2 - Monitor,409.75,0.0,0.0,0.0,409.75
A100745,64,2332.88,373.84,582.96,1749.92,0.7501114502246151,0.16024827680806555,SME,Home & Bulky,Ground Economy,0.3126521338409599,1,271.5644000340637,-0.5099957505957462,0.2551,Tier 1 - Act Now,373.84,2.94,-1.5,32.59,406.42999999999995
A100316,85,3604.5,386.46,760.51,2843.9900000000002,0.7890109585240672,0.10721598002496878,SME,Home & Bulky,Ground Economy,0.2181882388481314,21,281.11088487733883,-0.6272997397079333,0.1706,Tier 2 - Monitor,386.46,0.0,0.0,0.0,386.46
A100031,74,2554.84,384.77,710.19,1844.65,0.7220217313021559,0.1506043431291196,Enterprise,Home & Bulky,Express,0.3891062565866877,33,276.9229044222797,-0.1944115649076583,0.2397,Tier 2 - Monitor,384.77,0.0,0.0,0.0,384.77
A100154,74,3333.41,379.41,743.6,2589.81,0.7769251307219934,0.113820382131211,SME,Home & Bulky,Express,0.2683702403138491,31,256.66240805850623,-0.5456504864796587,0.1812,Tier 2 - Monitor,379.41,0.0,0.0,0.0,379.41
A100327,66,1960.16,333.38,621.5,1338.66,0.6829340462003102,0.17007795282017793,SME,Home & Bulky,Ground Economy,0.4609906217275028,40,272.14981108187044,-0.4287526010291999,0.2843,Tier 1 - Act Now,333.38,3.5,-1.5,38.15,371.53
A100119,68,2420.14,364.12,668.29,1751.85,0.7238630823010239,0.15045410596081218,Mid-Market,Home & Bulky,Express,0.3950148263232333,18,280.41787841129803,-0.3828352179303421,0.2395,Tier 2 - Monitor,364.12,0.0,0.0,0.0,364.12
A100030,75,3464.9700000000003,363.27,737.05,2727.92,0.787285315601578,0.1048407345518143,Mid-Market,Home & Bulky,Ground,0.2544256537567686,11,314.58229274572034,-0.3745938574050754,0.1669,Tier 2 - Monitor,363.27,0.0,0.0,0.0,363.27
A100258,85,3217.99,362.64,783.83,2434.16,0.756422487329047,0.11269146268322773,SME,Home & Bulky,Ground Economy,0.3278617669531787,32,270.5818548700766,-0.5880613842388207,0.1794,Tier 2 - Monitor,362.64,0.0,0.0,0.0,362.64
A100009,64,2563.45,360.89,647.37,1916.08,0.7474614289336636,0.14078292925549551,SME,Home & Bulky,Ground Economy,0.3491205201131493,28,316.0021842685921,-0.5358216490835728,0.2241,Tier 2 - Monitor,360.89,0.0,0.0,0.0,360.89
A100235,54,2109.96,324.29,527.37,1582.59,0.7500568731160779,0.153694856774536,Mid-Market,Home & Bulky,Ground,0.3316980234023887,9,254.3800105307828,-0.4738501053025785,0.2446,Tier 1 - Act Now,324.29,3.17,-1.5,34.14,358.43
A100145,68,2356.2,358.12,628.81,1727.3899999999999,0.7331253713606655,0.15199049316696378,SME,Home & Bulky,Express,0.3584768544204992,18,294.9524307376849,-0.5148301189888614,0.2419,Tier 2 - Monitor,358.12,0.0,0.0,0.0,358.12
A100049,74,2032.75,343.39,648.25,1384.5,0.6810970360349281,0.16892879104661174,SME,Home & Bulky,Ground,0.4486842262645503,16,252.09411548400223,-0.6733958044973524,0.284,Tier 1 - Act Now,343.39,2.23,-1.5,14.11,357.5
A100388,73,2846.45,357.28000000000003,596.79,2249.66,0.790338843120378,0.12551775018004885,SME,Home & Bulky,Ground Economy,0.184173660514121,4,251.61503151761224,-0.3847220468244839,0.1998,Tier 2 - Monitor,357.28000000000003,0.0,0.0,0.0,357.28000000000003
A100211,66,2751.77,354.73,656.35,2095.42,0.7614807923627338,0.128909756265967,SME,Home & Bulky,Ground Economy,0.30448697104676,30,306.9500346981107,-0.5751352336775507,0.2052,Tier 2 - Monitor,354.73,0.0,0.0,0.0,354.73
A100326,73,3637.35,350.08,690.7,2946.65,0.8101090079315986,0.09624589330144198,Mid-Market,Home & Bulky,Ground Economy,0.1600050665915655,8,260.0126408713268,-0.3666078098848496,0.1532,Tier 3 - Healthy,350.08,0.0,0.0,0.0,350.08
A100276,64,1753.85,308.15,617.9399999999999,1135.91,0.6476665621347323,0.17569917609829802,SME,Home & Bulky,Express,0.5144597792260228,20,305.91420697877777,-0.477760629569019,0.3215,Tier 1 - Act Now,308.15,3.14,-1.5,27.93,336.08
A100362,69,2943.9,334.54,751.08,2192.82,0.7448690512585346,0.1136383708685757,SME,Home & Bulky,Ground Economy,0.3887692185117782,12,312.4994982660787,-0.4923520179477777,0.1809,Tier 2 - Monitor,334.54,0.0,0.0,0.0,334.54
A100693,70,3811.08,332.15999999999997,703.65,3107.43,0.815367297458988,0.087156396611984,SME,Home & Bulky,Express,0.1314427095556529,6,286.1246293356247,-0.4209852879659412,0.1387,Tier 3 - Healthy,332.15999999999997,0.0,0.0,0.0,332.15999999999997
A100399,70,2939.58,329.51,638.58,2301.0,0.7827648847794583,0.11209424475605359,SME,Home & Bulky,Ground,0.2365148847228498,23,237.8897980750105,-0.5136926566265617,0.1784,Tier 2 - Monitor,329.51,0.0,0.0,0.0,329.51
A100224,69,1940.1200000000001,298.18,825.46,1114.66,0.5745314722800652,0.15369152423561427,SME,Home & Bulky,Ground,0.6259531228996824,30,359.2197800851769,-0.538818955032024,0.345,Tier 1 - Act Now,298.18,2.78,-1.5,24.1,322.28000000000003
A100201,59,2524.84,322.26,590.92,1933.92,0.7659574468085106,0.12763581058601733,Enterprise,Home & Bulky,Ground,0.3032125930573688,18,316.3709534151681,-0.1875263987403669,0.2031,Tier 2 - Monitor,322.26,0.0,0.0,0.0,322.26
A100387,80,2674.23,321.76,727.53,1946.7,0.727947857888065,0.12031874595678008,Enterprise,Home & Bulky,Ground,0.3935733360280163,18,280.98089422939853,-0.1702651460740619,0.1915,Tier 2 - Monitor,321.76,0.0,0.0,0.0,321.76
A100192,56,1925.16,297.99,562.32,1362.84,0.7079099918967774,0.15478713457582746,SME,Home & Bulky,Ground Economy,0.4180673294327426,25,288.4101007472618,-0.5459704041769442,0.2464,Tier 1 - Act Now,297.99,2.75,-1.5,23.22,321.21000000000004
A100730,72,2779.89,318.08,686.77,2093.12,0.7529506563209336,0.11442179366809478,SME,Home & Bulky,Ground,0.3324697277651346,3,285.82088299124894,-0.5887367502788058,0.1821,Tier 2 - Monitor,318.08,0.0,0.0,0.0,318.08
A100524,72,2704.37,317.07,717.62,1986.75,0.7346442979326054,0.11724357244016166,SME,Home & Bulky,Ground Economy,0.3876614551776525,10,297.2969646933205,-0.5504089275032484,0.1866,Tier 2 - Monitor,317.07,0.0,0.0,0.0,317.07
A100576,67,3000.9,316.90999999999997,722.11,2278.79,0.7593688560098637,0.10560498517111531,Enterprise,Home & Bulky,Express,0.3666328772170417,2,335.9838799291311,-0.2388111284707727,0.1681,Tier 2 - Monitor,316.90999999999997,0.0,0.0,0.0,316.90999999999997
A100472,72,2504.83,316.36,731.59,1773.24,0.7079282825580978,0.126299988422368,SME,Home & Bulky,Ground,0.4415482416497693,18,248.44574194728315,-0.5744339907318711,0.201,Tier 2 - Monitor,316.36,0.0,0.0,0.0,316.36
A100344,78,2582.96,314.26,671.12,1911.84,0.7401740638647133,0.12166661504630347,Mid-Market,Home & Bulky,Ground Economy,0.3459287641534908,5,265.45072182440657,-0.4023475406452733,0.1936,Tier 2 - Monitor,314.26,0.0,0.0,0.0,314.26
A100382,60,1710.12,278.67,550.48,1159.64,0.6781044605056956,0.16295347694898604,Mid-Market,Home & Bulky,Ground,0.470123586382721,30,275.86494309022186,-0.4314924946134059,0.2769,Tier 1 - Act Now,278.67,3.48,-1.5,32.91,311.58000000000004
A100313,78,2598.64,308.62,642.26,1956.38,0.7528476433826926,0.11876212172521011,SME,Home & Bulky,Ground,0.2905431245338388,40,219.4853251347334,-0.5770270482023682,0.189,Tier 2 - Monitor,308.62,0.0,0.0,0.0,308.62
A100642,63,1873.27,288.55,536.25,1337.02,0.7137358736327385,0.1540354567147288,SME,Home & Bulky,Ground Economy,0.3968603765496369,35,258.03823843422066,-0.6028249453324233,0.2452,Tier 1 - Act Now,288.55,2.49,-1.5,17.81,306.36
A100099,74,1671.18,234.06,656.92,1014.26,0.606912481001448,0.14005672638494956,Enterprise,Home & Bulky,Ground Economy,0.565824360573656,13,241.4838816669032,-0.2571832386726141,0.2974,Tier 1 - Act Now,234.06,5.83,-1.5,70.94,305.0
A100077,51,2094.43,295.73,515.4399999999999,1578.99,0.7538996290160092,0.14119832126163206,Mid-Market,Home & Bulky,Ground Economy,0.3314933911581013,38,300.52023574881554,-0.3845647096035159,0.2247,Tier 2 - Monitor,295.73,0.0,0.0,0.0,295.73
A100529,68,2370.55,288.87,536.2,1834.35,0.7738077661302228,0.12185779671384277,SME,Home & Bulky,Ground,0.228229102549974,35,217.0805365565577,-0.4604680884807732,0.1939,Tier 2 - Monitor,288.87,0.0,0.0,0.0,288.87
A100086,81,3856.59,284.73,823.97,3032.62,0.7863475246266779,0.07382947111308176,Mid-Market,Home & Bulky,Ground Economy,0.2829289615526895,14,279.4350895044232,-0.3871726551475874,0.1175,Tier 3 - Healthy,284.73,0.0,0.0,0.0,284.73
A100627,57,2599.13,284.51,473.56,2125.57,0.8178005717297712,0.10946355126523105,SME,Home & Bulky,Ground,0.05,15,210.49139081995503,-0.5076402110684486,0.1742,Tier 2 - Monitor,284.51,0.0,0.0,0.0,284.51
A100125,67,2882.01,283.71,641.08,2240.93,0.7775580237403755,0.09844171255477946,SME,Home & Bulky,Ground Economy,0.2657996096474029,4,243.54140503422784,-0.5693583104856427,0.1567,Tier 3 - Healthy,283.71,0.0,0.0,0.0,283.71
A100134,72,2992.04,283.67,694.44,2297.6,0.7679041724041122,0.09480822448897742,SME,Home & Bulky,Ground,0.3036235895877798,29,285.60532389456114,-0.6881406137976118,0.1509,Tier 3 - Healthy,283.67,0.0,0.0,0.0,283.67
A100557,47,1937.42,282.52,411.45,1525.97,0.7876299408491705,0.14582279526380443,SME,Home & Bulky,Ground,0.189822026258649,34,217.19882381004444,-0.5013851541272203,0.2321,Tier 2 - Monitor,282.52,0.0,0.0,0.0,282.52
A100814,67,2160.47,282.23,600.18,1560.29,0.722199336255537,0.1306336121306938,SME,Home & Bulky,Ground Economy,0.3921225372799792,16,255.49720899896028,-0.6685738741359764,0.2079,Tier 2 - Monitor,282.23,0.0,0.0,0.0,282.23
A100804,67,2928.08,281.18,657.82,2270.26,0.7753408376820307,0.09602879702740363,SME,Home & Bulky,Ground Economy,0.2826557033650485,11,274.6561504231539,-0.4778034545189376,0.1528,Tier 3 - Healthy,281.18,0.0,0.0,0.0,281.18
A100713,80,2789.06,281.14,756.35,2032.71,0.7288154431959155,0.10080098671236903,Enterprise,Home & Bulky,Ground Economy,0.4025670953303659,27,272.4168674276496,-0.2508445080755789,0.1604,Tier 2 - Monitor,281.14,0.0,0.0,0.0,281.14
A100000,64,2790.72,277.15,614.25,2176.47,0.7798955108359132,0.0993112888430226,Mid-Market,Home & Bulky,Ground,0.2614811551072988,7,296.28072594461344,-0.3173612997613391,0.1581,Tier 3 - Healthy,277.15,0.0,0.0,0.0,277.15
A100290,66,2697.58,274.34000000000003,619.03,2078.55,0.7705239510969092,0.10169855944958076,Mid-Market,Home & Bulky,Ground Economy,0.288836056605028,10,251.3835147769167,-0.5072118102930664,0.1619,Tier 2 - Monitor,274.34000000000003,0.0,0.0,0.0,274.34000000000003
A100579,63,1867.42,254.32999999999998,674.05,1193.37,0.6390474558481755,0.1361932505810155,SME,Home & Bulky,Ground,0.5434093080797732,36,297.0421500215698,-0.6014959319229319,0.2655,Tier 1 - Act Now,254.32999999999998,2.49,-1.5,17.86,272.19
A100897,72,2625.42,270.59000000000003,714.5600000000001,1910.86,0.7278302138324534,0.10306541429561747,SME,Home & Bulky,Ground Economy,0.4137522921749758,27,303.8501489935746,-0.5596327072494868,0.164,Tier 2 - Monitor,270.59000000000003,0.0,0.0,0.0,270.59000000000003
A100270,64,2850.03,267.26,711.13,2138.9,0.7504833282456675,0.09377445149700178,SME,Home & Bulky,Express,0.374387700411218,1,328.5928958785623,-0.4424186587786965,0.1493,Tier 3 - Healthy,267.26,0.0,0.0,0.0,267.26
A100298,72,2053.58,265.2,656.72,1396.8600000000001,0.6802072478306178,0.12914033054470728,Mid-Market,Home & Bulky,Ground Economy,0.4621626978082208,17,248.79146385454027,-0.4594306120477734,0.2214,Tier 2 - Monitor,265.2,0.0,0.0,0.0,265.2
A100386,62,2614.47,263.83,614.38,2000.0900000000001,0.7650078218529952,0.10091146580377668,Mid-Market,Home & Bulky,Ground,0.321323667280167,41,305.3370568940225,-0.374016328972974,0.1606,Tier 2 - Monitor,263.83,0.0,0.0,0.0,263.83
A100129,53,1832.47,261.88,505.9,1326.57,0.7239245390101884,0.1429109344218459,SME,Home & Bulky,Ground,0.402571364142531,40,328.7381432498344,-0.4827388696244509,0.2275,Tier 2 - Monitor,261.88,0.0,0.0,0.0,261.88
A100179,64,2422.6,261.19,641.64,1780.96,0.7351440601007183,0.10781391893007512,Mid-Market,Home & Bulky,Ground Economy,0.3952872167148881,41,309.25339699900115,-0.3841534895562239,0.1716,Tier 2 - Monitor,261.19,0.0,0.0,0.0,261.19
A100522,70,2871.97,260.52,704.4,2167.57,0.7547328140614283,0.09071125394763872,SME,Home & Bulky,Ground,0.3746667032616485,12,310.806520059186,-0.6103482805589017,0.1444,Tier 3 - Healthy,260.52,0.0,0.0,0.0,260.52
A100644,75,2471.5,259.58,729.71,1741.79,0.7047501517297188,0.10502933441230021,Mid-Market,Home & Bulky,Ground,0.4504513697115551,9,299.59866150838235,-0.42838535759022,0.1672,Tier 2 - Monitor,259.58,0.0,0.0,0.0,259.58
A100083,55,1954.51,258.59000000000003,419.95,1534.56,0.7851379629677003,0.13230426040286314,SME,Home & Bulky,Ground,0.1465388503062804,10,229.48291015194923,-0.5710007153547998,0.2106,Tier 2 - Monitor,258.59000000000003,0.0,0.0,0.0,258.59000000000003
A100447,80,3987.18,256.13,779.22,3207.96,0.80456864249921,0.06423838402078662,SME,Home & Bulky,Ground,0.2038266641065653,31,267.98651087390243,-0.7168636258848544,0.1022,Tier 3 - Healthy,256.13,0.0,0.0,0.0,256.13
A100480,55,2895.41,253.82,560.65,2334.7599999999998,0.806365937811916,0.08766288712134034,SME,Home & Bulky,Ground,0.1951257389292288,1,269.92692121294124,-0.5389590367352097,0.1395,Tier 3 - Healthy,253.82,0.0,0.0,0.0,253.82
A100164,74,2840.65,252.76,616.36,2224.29,0.7830214915600302,0.08897963494270678,SME,Home & Bulky,Ground,0.2218090154049196,4,242.18675715729412,-0.4008204017121686,0.1416,Tier 3 - Healthy,252.76,0.0,0.0,0.0,252.76
A100753,77,1372.35,209.27,415.15,957.2,0.6974897074361498,0.15249025394396476,SME,Apparel/Soft Goods,Express,0.2404321158329413,8,294.7414688404152,-0.3213136604733609,0.2447,Tier 1 - Act Now,209.27,4.67,-1.5,42.52,251.79000000000002
A100736,54,2852.22,251.46999999999997,596.28,2255.94,0.7909417927088374,0.08816641072568035,SME,Home & Bulky,Ground,0.2591752052800883,23,336.5846999375899,-0.5177613972740011,0.1403,Tier 3 - Healthy,251.46999999999997,0.0,0.0,0.0,251.46999999999997
A100018,67,2677.18,250.14000000000001,576.53,2100.65,0.7846502663250137,0.09343413591913881,Mid-Market,Home & Bulky,Ground,0.2249463792814258,22,248.5002677926091,-0.4515440297521692,0.1487,Tier 3 - Healthy,250.14000000000001,0.0,0.0,0.0,250.14000000000001
A100626,68,2498.64,242.49,632.21,1866.43,0.7469783562257869,0.09704879454423207,Mid-Market,Home & Bulky,Ground Economy,0.3595142819031726,19,268.8751753542478,-0.3261131872764905,0.1545,Tier 3 - Healthy,242.49,0.0,0.0,0.0,242.49
A100886,70,1943.8600000000001,242.41,627.49,1316.3700000000001,0.6771938308314385,0.12470548290514748,SME,Home & Bulky,Ground Economy,0.4768206447063832,27,264.0487050088454,-0.5609328493308148,0.2167,Tier 2 - Monitor,242.41,0.0,0.0,0.0,242.41
